# Sample Trading Book - Positions
# Date: 2024-01-15
# Source: Sample data for demonstration

position_id,instrument_type,instrument_id,notional,direction,maturity_date,coupon,entry_date,entry_price
POS001,UST,UST_2Y,10000000,LONG,2026-01-15,0.0475,2024-01-10,99.94
POS002,UST,UST_5Y,15000000,LONG,2029-01-15,0.0425,2024-01-12,99.55
POS003,UST,UST_10Y,20000000,SHORT,2034-01-15,0.0375,2024-01-08,96.28
POS004,UST,UST_30Y,5000000,LONG,2054-01-15,0.0450,2024-01-11,98.95
POS005,IRS,IRS_5Y,-25000000,PAY_FIXED,2029-01-15,0.0428,2024-01-10,0.00
POS006,IRS,IRS_10Y,30000000,REC_FIXED,2034-01-15,0.0415,2024-01-12,0.00
POS007,IRS,IRS_2Y,50000000,PAY_FIXED,2026-01-15,0.0465,2024-01-08,0.00
POS008,FUT,SFRH4,20,LONG,2024-03-20,0.0,2024-01-05,94.72
POS009,FUT,SFRM4,15,SHORT,2024-06-19,0.0,2024-01-08,94.82
POS010,FUT,SFRU4,10,LONG,2024-09-18,0.0,2024-01-10,95.00
