# Historical OIS Rate Data - Sample
# Source: Synthetic demo data
# Format: date,tenor,rate (decimal)
# Covers multiple stress periods: GFC 2008, Taper 2013, COVID 2020, Rate Hike 2022, Current 2023

date,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
2008-09-15,0.0250,0.0270,0.0285,0.0300,0.0320,0.0350,0.0370,0.0390,0.0410,0.0430
2008-09-22,0.0240,0.0260,0.0275,0.0290,0.0310,0.0340,0.0360,0.0380,0.0400,0.0420
2008-10-15,0.0180,0.0200,0.0215,0.0240,0.0260,0.0290,0.0310,0.0330,0.0350,0.0370
2008-10-22,0.0160,0.0180,0.0195,0.0220,0.0240,0.0270,0.0290,0.0310,0.0330,0.0350
2008-11-15,0.0100,0.0115,0.0130,0.0150,0.0170,0.0200,0.0220,0.0240,0.0260,0.0280
2008-11-22,0.0090,0.0105,0.0120,0.0140,0.0160,0.0190,0.0210,0.0230,0.0250,0.0270
2013-06-15,0.0060,0.0070,0.0085,0.0105,0.0125,0.0160,0.0175,0.0190,0.0210,0.0230
2013-07-15,0.0068,0.0078,0.0093,0.0113,0.0133,0.0168,0.0183,0.0198,0.0218,0.0238
2013-09-15,0.0085,0.0095,0.0110,0.0130,0.0145,0.0175,0.0190,0.0205,0.0225,0.0245
2013-10-15,0.0075,0.0085,0.0100,0.0120,0.0135,0.0165,0.0180,0.0195,0.0215,0.0235
2020-03-15,0.0030,0.0035,0.0040,0.0045,0.0050,0.0060,0.0065,0.0070,0.0080,0.0085
2020-04-15,0.0015,0.0022,0.0028,0.0036,0.0045,0.0058,0.0066,0.0073,0.0083,0.0090
2020-06-15,0.0025,0.0030,0.0035,0.0040,0.0045,0.0055,0.0060,0.0065,0.0075,0.0080
2020-08-15,0.0038,0.0044,0.0050,0.0056,0.0062,0.0070,0.0076,0.0082,0.0092,0.0098
2020-09-15,0.0049,0.0055,0.0062,0.0069,0.0076,0.0084,0.0091,0.0098,0.0108,0.0115
2020-10-15,0.0040,0.0046,0.0053,0.0060,0.0067,0.0075,0.0082,0.0089,0.0099,0.0106
2020-11-15,0.0032,0.0038,0.0045,0.0052,0.0059,0.0067,0.0074,0.0081,0.0091,0.0098
2020-12-15,0.0024,0.0030,0.0037,0.0044,0.0051,0.0059,0.0066,0.0073,0.0083,0.0090
2020-12-31,0.0015,0.0022,0.0029,0.0038,0.0047,0.0060,0.0068,0.0076,0.0088,0.0095
2020-12-31,0.0048,0.0055,0.0063,0.0072,0.0080,0.0092,0.0100,0.0108,0.0120,0.0128
