# OIS Swap Quotes - Sample Market Data
# Date: 2024-01-15
# Source: Sample data for demonstration
# All rates in decimal (e.g., 0.05 = 5%)

tenor,rate,instrument_type,day_count
1W,0.0525,OIS,ACT/360
2W,0.0528,OIS,ACT/360
1M,0.0530,OIS,ACT/360
2M,0.0533,OIS,ACT/360
3M,0.0535,OIS,ACT/360
6M,0.0528,OIS,ACT/360
9M,0.0518,OIS,ACT/360
1Y,0.0505,OIS,ACT/360
18M,0.0485,OIS,ACT/360
2Y,0.0468,OIS,ACT/360
3Y,0.0445,OIS,ACT/360
4Y,0.0432,OIS,ACT/360
5Y,0.0425,OIS,ACT/360
7Y,0.0418,OIS,ACT/360
10Y,0.0415,OIS,ACT/360
15Y,0.0418,OIS,ACT/360
20Y,0.0425,OIS,ACT/360
30Y,0.0438,OIS,ACT/360
